o_zone_id,d_zone_id,total_distance_mile,total_distance_km,total_free_flow_travel_time
1,2,4.320,6.951,5.730
1,3,2.230,3.588,2.390
1,4,7.970,12.824,7.060
1,5,9.020,14.513,9.800
1,6,4.950,7.965,4.970
1,7,4.990,8.029,4.690
1,8,7.750,12.470,6.900
1,9,9.600,15.446,8.400
1,10,8.670,13.950,9.310
1,11,7.520,12.100,6.730
1,12,7.710,12.405,8.220
1,13,5.140,8.270,5.980
1,14,6.460,10.394,7.880
1,15,10.070,16.203,9.970
1,16,5.440,8.753,6.750
1,17,8.620,13.870,11.270
1,18,2.640,4.248,2.750
1,19,3.030,4.875,3.060
1,20,4.130,6.645,4.580
1,21,7.150,11.504,8.680
1,22,5.100,8.206,5.160
1,23,10.910,17.554,12.070
1,24,11.770,18.938,12.640
1,25,11.720,18.857,10.750
1,26,8.310,13.371,7.350
1,27,9.420,15.157,9.570
1,28,5.240,8.431,7.520
1,29,12.470,20.064,13.070
1,30,12.520,20.145,11.030
1,31,8.230,13.242,7.720
1,32,9.850,15.849,10.630
1,33,10.550,16.975,10.740
1,34,12.720,20.466,11.360
1,35,13.140,21.142,11.750
1,36,5.870,9.445,5.920
1,37,5.460,8.785,5.480
1,38,10.720,17.248,11.820
1,39,9.770,15.720,10.310
1,40,9.550,15.366,10.200
1,41,8.550,13.757,8.660
1,42,9.990,16.074,10.650
1,43,11.700,18.825,10.430
1,44,8.240,13.258,7.730
2,1,4.320,6.951,5.730
2,3,1.510,2.430,1.620
2,4,10.370,16.685,10.670
2,5,7.310,11.762,10.960
2,6,7.350,11.826,8.580
2,7,7.390,11.891,8.300
2,8,10.150,16.331,10.510
2,9,7.290,11.730,9.080
2,10,7.380,11.874,11.140
2,11,5.380,8.656,7.670
2,12,6.410,10.314,9.840
2,13,4.570,7.353,6.050
2,14,4.160,6.693,6.070
2,15,4.390,7.064,6.810
2,16,3.210,5.165,4.740
2,17,5.400,8.689,7.900
2,18,3.050,4.907,4.450
2,19,5.430,8.737,6.670
2,20,3.560,5.728,4.650
2,21,3.930,6.323,5.310
2,22,7.500,12.067,8.770
2,23,8.600,13.837,12.750
2,24,9.200,14.803,14.110
2,25,8.490,13.660,10.980
2,26,6.000,9.654,8.030
2,27,5.270,8.479,8.290
2,28,1.870,3.009,2.260
2,29,9.900,15.929,14.540
2,30,9.290,14.948,11.260
2,31,5.920,9.525,8.400
2,32,7.540,12.132,11.310
2,33,7.320,11.778,10.970
2,34,9.490,15.269,11.590
2,35,9.910,15.945,11.980
2,36,8.270,13.306,9.530
2,37,7.860,12.647,9.090
2,38,13.120,21.110,15.430
2,39,12.170,19.582,13.920
2,40,7.240,11.649,10.880
2,41,10.950,17.619,12.270
2,42,6.760,10.877,10.880
2,43,8.470,13.628,10.660
2,44,5.930,9.541,8.410
3,1,2.230,3.588,2.390
3,2,1.510,2.430,1.620
3,4,8.500,13.676,7.570
3,5,6.830,10.989,8.620
3,6,5.480,8.817,5.480
3,7,5.520,8.882,5.200
3,8,8.280,13.323,7.410
3,9,6.810,10.957,6.740
3,10,6.900,11.102,8.800
3,11,4.770,7.675,5.130
3,12,5.930,9.541,7.500
3,13,3.310,5.326,4.650
3,14,4.640,7.466,6.530
3,15,7.280,11.714,8.310
3,16,3.620,5.825,5.400
3,17,6.800,10.941,9.920
3,18,1.790,2.880,3.050
3,19,3.560,5.728,3.570
3,20,2.300,3.701,3.250
3,21,5.330,8.576,7.330
3,22,5.630,9.059,5.670
3,23,8.120,13.065,10.410
3,24,8.720,14.030,11.770
3,25,8.930,14.368,9.090
3,26,5.520,8.882,5.690
3,27,6.630,10.668,7.910
3,28,3.400,5.471,4.950
3,29,9.420,15.157,12.200
3,30,9.730,15.656,9.370
3,31,5.440,8.753,6.060
3,32,7.060,11.360,8.970
3,33,7.760,12.486,9.080
3,34,9.930,15.977,9.700
3,35,10.350,16.653,10.090
3,36,6.400,10.298,6.430
3,37,5.990,9.638,5.990
3,38,11.250,18.101,12.330
3,39,10.300,16.573,10.820
3,40,6.760,10.877,8.540
3,41,9.080,14.610,9.170
3,42,7.180,11.553,8.990
3,43,8.910,14.336,8.770
3,44,5.450,8.769,6.070
4,1,12.120,19.501,14.400
4,2,11.590,18.648,13.340
4,3,11.120,17.892,11.030
4,5,3.990,6.420,5.630
4,6,4.190,6.742,6.030
4,7,5.960,9.590,5.800
4,8,3.150,5.068,4.460
4,9,9.570,15.398,8.810
4,10,3.640,5.857,5.140
4,11,7.490,12.051,7.140
4,12,7.680,12.357,8.630
4,13,8.370,13.467,9.020
4,14,9.470,15.237,9.950
4,15,10.040,16.154,10.380
4,16,9.470,15.237,10.550
4,17,11.510,18.520,12.780
4,18,10.220,16.444,10.070
4,19,8.010,12.888,9.730
4,20,9.360,15.060,10.400
4,21,12.080,19.437,13.020
4,22,6.490,10.442,6.740
4,23,6.010,9.670,6.930
4,24,5.690,9.155,7.160
4,25,6.780,10.909,9.560
4,26,8.280,13.323,7.760
4,27,9.390,15.109,9.980
4,28,12.250,19.710,13.810
4,29,6.390,10.282,7.590
4,30,7.620,12.261,9.570
4,31,8.200,13.194,8.130
4,32,4.920,7.916,7.240
4,33,5.730,9.220,8.200
4,34,6.540,10.523,9.260
4,35,6.960,11.199,9.650
4,36,5.020,8.077,6.780
4,37,4.610,7.417,6.340
4,38,4.640,7.466,6.340
4,39,3.690,5.937,4.830
4,40,4.620,7.434,6.810
4,41,2.470,3.974,3.180
4,42,7.070,11.376,10.960
4,43,7.770,12.502,10.550
4,44,8.210,13.210,8.140
5,1,9.030,14.529,13.060
5,2,7.300,11.746,11.000
5,3,6.810,10.957,8.670
5,4,3.980,6.404,5.630
5,6,5.810,9.348,7.270
5,7,5.610,9.026,6.760
5,8,4.070,6.549,6.030
5,9,5.280,8.496,6.470
5,10,0.520,0.837,0.640
5,11,3.200,5.149,4.800
5,12,3.130,5.036,5.230
5,13,5.280,8.496,7.680
5,14,5.180,8.335,7.610
5,15,5.790,9.316,7.760
5,16,5.180,8.335,8.210
5,17,7.270,11.697,10.190
5,18,5.920,9.525,7.700
5,19,5.770,9.284,8.540
5,20,6.270,10.088,9.060
5,21,7.840,12.615,10.430
5,22,5.460,8.785,7.420
5,23,1.970,3.170,2.950
5,24,2.610,4.199,3.220
5,25,3.140,5.052,4.550
5,26,3.990,6.420,5.420
5,27,5.100,8.206,7.640
5,28,7.960,12.808,11.470
5,29,3.310,5.326,3.650
5,30,3.540,5.696,5.560
5,31,2.770,4.457,4.120
5,32,1.370,2.204,2.090
5,33,2.090,3.363,3.190
5,34,3.470,5.583,5.010
5,35,3.890,6.259,5.400
5,36,5.000,8.045,6.380
5,37,4.590,7.385,5.940
5,38,4.180,6.726,4.980
5,39,3.650,5.873,3.660
5,40,1.070,1.722,1.660
5,41,2.610,4.199,3.610
5,42,3.580,5.760,5.950
5,43,4.160,6.693,5.620
5,44,2.780,4.473,4.130
6,1,7.610,12.244,10.360
6,2,7.010,11.279,9.510
6,3,5.750,9.252,8.110
6,4,4.850,7.804,4.600
6,5,5.160,8.302,7.320
6,7,1.690,2.719,1.990
6,8,1.520,2.446,1.960
6,9,6.480,10.426,5.940
6,10,4.810,7.739,6.830
6,11,4.400,7.080,4.270
6,12,3.810,6.130,5.760
6,13,3.860,6.211,4.980
6,14,5.170,8.319,6.900
6,15,6.950,11.183,7.510
6,16,5.170,8.319,7.500
6,17,8.420,13.548,9.910
6,18,7.130,11.472,7.200
6,19,3.500,5.631,5.690
6,20,4.850,7.804,6.360
6,21,8.990,14.465,10.150
6,22,1.980,3.186,2.700
6,23,7.790,12.534,9.610
6,24,7.720,12.421,10.110
6,25,8.600,13.837,8.290
6,26,5.190,8.351,4.890
6,27,6.300,10.137,7.110
6,28,7.920,12.743,10.760
6,29,8.420,13.548,10.540
6,30,9.400,15.125,8.570
6,31,5.110,8.222,5.260
6,32,6.730,10.829,8.170
6,33,7.430,11.955,8.280
6,34,9.600,15.446,8.900
6,35,10.020,16.122,9.290
6,36,2.750,4.425,3.460
6,37,2.340,3.765,3.020
6,38,6.670,10.732,9.290
6,39,5.720,9.203,7.780
6,40,6.430,10.346,7.740
6,41,4.500,7.240,6.130
6,42,6.870,11.054,8.190
6,43,8.580,13.805,7.970
6,44,5.120,8.238,5.270
7,1,9.190,14.787,11.310
7,2,8.260,13.290,9.910
7,3,7.790,12.534,7.600
7,4,4.610,7.417,4.040
7,5,5.660,9.107,6.780
7,6,5.080,8.174,5.600
7,8,4.390,7.064,3.880
7,9,6.240,10.040,5.380
7,10,5.310,8.544,6.290
7,11,4.160,6.693,3.710
7,12,4.350,6.999,5.200
7,13,5.440,8.753,5.930
7,14,6.140,9.879,6.520
7,15,6.710,10.796,6.950
7,16,6.140,9.879,7.120
7,17,8.180,13.162,9.350
7,18,6.890,11.086,6.640
7,19,5.930,9.541,6.790
7,20,6.430,10.346,7.310
7,21,8.750,14.079,9.590
7,22,5.740,9.236,5.870
7,23,7.550,12.148,9.050
7,24,8.410,13.532,9.620
7,25,8.360,13.451,7.730
7,26,4.950,7.965,4.330
7,27,6.060,9.751,6.550
7,28,8.920,14.352,10.380
7,29,9.110,14.658,10.050
7,30,9.160,14.738,8.010
7,31,4.870,7.836,4.700
7,32,6.490,10.442,7.610
7,33,7.190,11.569,7.720
7,34,9.360,15.060,8.340
7,35,9.780,15.736,8.730
7,36,5.280,8.496,4.830
7,37,4.870,7.836,4.390
7,38,7.360,11.842,8.800
7,39,6.410,10.314,7.290
7,40,6.190,9.960,7.180
7,41,5.190,8.351,5.640
7,42,6.630,10.668,7.630
7,43,8.340,13.419,7.410
7,44,4.880,7.852,4.710
8,1,9.930,15.977,12.090
8,2,9.500,15.285,11.200
8,3,9.030,14.529,8.890
8,4,3.200,5.149,4.470
8,5,4.190,6.742,6.000
8,6,1.520,2.446,1.960
8,7,3.770,6.066,3.490
8,9,7.480,12.035,6.670
8,10,3.840,6.179,5.510
8,11,5.400,8.689,5.000
8,12,4.070,6.549,6.340
8,13,6.180,9.944,6.710
8,14,7.380,11.874,7.810
8,15,7.950,12.792,8.240
8,16,7.380,11.874,8.410
8,17,9.420,15.157,10.640
8,18,8.130,13.081,7.930
8,19,5.820,9.364,7.420
8,20,7.170,11.537,8.090
8,21,9.990,16.074,10.880
8,22,4.300,6.919,4.430
8,23,6.940,11.166,8.560
8,24,6.620,10.652,8.790
8,25,9.600,15.446,9.020
8,26,6.190,9.960,5.620
8,27,7.300,11.746,7.840
8,28,10.160,16.347,11.670
8,29,7.320,11.778,9.220
8,30,10.400,16.734,9.300
8,31,6.110,9.831,5.990
8,32,5.010,8.061,7.410
8,33,5.760,9.268,8.040
8,34,10.600,17.055,9.630
8,35,11.020,17.731,10.020
8,36,3.300,5.310,4.250
8,37,2.890,4.650,3.810
8,38,5.570,8.962,7.970
8,39,4.620,7.434,6.460
8,40,4.710,7.578,6.980
8,41,3.400,5.471,4.810
8,42,7.850,12.631,8.920
8,43,9.580,15.414,8.700
8,44,6.120,9.847,6.000
9,1,8.940,14.384,11.900
9,2,5.260,8.463,6.670
9,3,7.070,11.376,7.100
9,4,8.320,13.387,7.230
9,5,5.390,8.673,6.520
9,6,6.740,10.845,6.210
9,7,6.540,10.523,5.700
9,8,8.100,13.033,7.070
9,10,5.460,8.785,6.700
9,11,3.460,5.567,3.230
9,12,4.490,7.224,5.400
9,13,6.210,9.992,6.620
9,14,3.510,5.648,5.090
9,15,1.280,2.060,1.400
9,16,3.510,5.648,5.690
9,17,2.760,4.441,3.830
9,18,6.180,9.944,6.130
9,19,6.700,10.780,7.480
9,20,6.180,9.944,7.900
9,21,3.330,5.358,4.070
9,22,6.390,10.282,6.360
9,23,5.630,9.059,6.510
9,24,7.320,11.778,9.440
9,25,3.270,5.261,3.520
9,26,4.250,6.838,3.850
9,27,1.430,2.301,2.310
9,28,5.270,8.479,6.960
9,29,8.020,12.904,9.870
9,30,4.070,6.549,3.800
9,31,4.000,6.436,3.960
9,32,4.640,7.466,5.520
9,33,4.370,7.031,4.870
9,34,4.270,6.870,4.130
9,35,4.690,7.546,4.520
9,36,5.930,9.541,5.320
9,37,5.520,8.882,4.880
9,38,8.740,14.063,11.160
9,39,9.220,14.835,9.860
9,40,4.650,7.482,5.620
9,41,8.050,12.952,8.700
9,42,3.030,4.875,4.850
9,43,2.430,3.910,3.190
9,44,4.010,6.452,3.970
10,1,9.400,15.125,12.730
10,2,7.000,11.263,10.160
10,3,6.510,10.475,7.830
10,4,3.780,6.082,5.330
10,5,0.530,0.853,0.620
10,6,6.180,9.944,6.940
10,7,5.980,9.622,6.430
10,8,3.870,6.227,5.730
10,9,4.980,8.013,5.630
10,11,2.900,4.666,3.960
10,12,2.960,4.763,4.720
10,13,5.650,9.091,7.350
10,14,4.880,7.852,6.770
10,15,5.490,8.833,6.920
10,16,4.880,7.852,7.370
10,17,6.970,11.215,9.350
10,18,5.620,9.043,6.860
10,19,6.140,9.879,8.210
10,20,6.640,10.684,8.730
10,21,7.540,12.132,9.590
10,22,5.830,9.380,7.090
10,23,3.320,5.342,3.410
10,24,3.000,4.827,3.640
10,25,3.230,5.197,4.690
10,26,3.690,5.937,4.580
10,27,4.800,7.723,6.800
10,28,7.660,12.325,10.630
10,29,3.700,5.953,4.070
10,30,4.680,7.530,5.380
10,31,2.470,3.974,3.280
10,32,1.460,2.349,2.230
10,33,2.180,3.508,3.330
10,34,4.880,7.852,5.710
10,35,5.300,8.528,6.100
10,36,5.370,8.640,6.050
10,37,4.960,7.981,5.610
10,38,3.570,5.744,5.330
10,39,4.040,6.500,4.090
10,40,1.160,1.866,1.800
10,41,2.410,3.878,3.310
10,42,3.280,5.278,5.110
10,43,3.860,6.211,4.780
10,44,2.480,3.990,3.290
11,1,7.550,12.148,10.120
11,2,5.220,8.399,7.400
11,3,4.750,7.643,5.090
11,4,6.150,9.895,5.460
11,5,3.220,5.181,4.750
11,6,4.570,7.353,4.440
11,7,4.370,7.031,3.930
11,8,5.930,9.541,5.300
11,9,3.200,5.149,2.870
11,10,3.290,5.294,4.930
11,12,2.320,3.733,3.630
11,13,3.790,6.098,4.770
11,14,3.100,4.988,4.010
11,15,3.670,5.905,4.440
11,16,3.100,4.988,4.610
11,17,5.140,8.270,6.840
11,18,3.850,6.195,4.130
11,19,4.280,6.887,5.630
11,20,4.790,7.707,6.120
11,21,5.710,9.187,7.080
11,22,4.220,6.790,4.590
11,23,4.510,7.257,6.540
11,24,5.110,8.222,7.900
11,25,5.320,8.560,5.220
11,26,1.910,3.073,1.820
11,27,3.020,4.859,4.040
11,28,5.880,9.461,7.870
11,29,5.810,9.348,8.330
11,30,6.120,9.847,5.500
11,31,1.830,2.944,2.190
11,32,3.450,5.551,5.100
11,33,4.150,6.677,5.210
11,34,6.320,10.169,5.830
11,35,6.740,10.845,6.220
11,36,3.760,6.050,3.550
11,37,3.350,5.390,3.110
11,38,6.570,10.571,9.390
11,39,7.100,11.424,8.580
11,40,3.150,5.068,4.670
11,41,5.880,9.461,6.930
11,42,3.570,5.744,5.120
11,43,5.300,8.528,4.900
11,44,1.840,2.961,2.200
12,1,7.660,12.325,10.650
12,2,6.730,10.829,9.250
12,3,6.260,10.072,6.940
12,4,6.020,9.686,5.880
12,5,3.070,4.940,4.400
12,6,3.240,5.213,4.250
12,7,4.240,6.822,4.350
12,8,3.500,5.632,4.830
12,9,4.710,7.578,4.720
12,10,2.720,4.376,3.910
12,11,2.630,4.232,3.050
12,13,3.910,6.291,5.270
12,14,4.610,7.417,5.860
12,15,5.180,8.335,6.290
12,16,4.610,7.417,6.460
12,17,6.650,10.700,8.690
12,18,5.360,8.624,5.980
12,19,4.400,7.080,6.130
12,20,4.900,7.884,6.650
12,21,7.220,11.617,8.930
12,22,3.490,5.615,4.810
12,23,4.950,7.965,7.250
12,24,5.550,8.930,8.610
12,25,6.830,10.989,7.070
12,26,3.420,5.503,3.670
12,27,4.530,7.289,5.890
12,28,7.390,11.891,9.720
12,29,6.250,10.056,9.040
12,30,7.630,12.277,7.350
12,31,1.890,3.041,2.940
12,32,3.890,6.259,5.810
12,33,4.640,7.466,6.440
12,34,7.830,12.598,7.680
12,35,8.250,13.274,8.070
12,36,3.030,4.875,3.770
12,37,2.620,4.216,3.330
12,38,5.500,8.849,8.290
12,39,4.850,7.804,7.860
12,40,3.590,5.776,5.380
12,41,4.490,7.224,6.230
12,42,3.670,5.905,6.650
12,43,6.810,10.957,6.750
12,44,1.900,3.057,2.950
13,1,5.170,8.319,6.900
13,2,4.570,7.353,6.050
13,3,3.310,5.326,4.650
13,4,6.880,11.070,7.130
13,5,5.380,8.656,7.690
13,6,3.860,6.211,5.040
13,7,3.900,6.275,4.760
13,8,6.660,10.716,6.970
13,9,5.960,9.590,6.290
13,10,5.030,8.093,7.200
13,11,3.880,6.243,4.620
13,12,4.070,6.549,6.110
13,14,2.730,4.393,3.440
13,15,3.910,6.291,5.760
13,16,2.730,4.393,4.040
13,17,4.920,7.916,6.850
13,18,2.960,4.763,4.280
13,19,1.910,3.073,2.380
13,20,2.410,3.878,2.900
13,21,5.430,8.737,7.000
13,22,3.560,5.728,4.600
13,23,7.270,11.697,9.960
13,24,7.870,12.663,11.320
13,25,8.080,13.001,8.640
13,26,4.670,7.514,5.240
13,27,4.850,7.804,6.960
13,28,5.480,8.817,7.300
13,29,8.570,13.789,11.750
13,30,8.880,14.288,8.920
13,31,4.590,7.385,5.610
13,32,6.210,9.992,8.520
13,33,6.910,11.118,8.630
13,34,9.080,14.610,9.250
13,35,9.500,15.285,9.640
13,36,4.330,6.967,5.360
13,37,3.920,6.307,4.920
13,38,7.810,12.566,11.580
13,39,8.680,13.966,10.380
13,40,5.910,9.509,8.090
13,41,7.460,12.003,8.730
13,42,6.350,10.217,8.540
13,43,8.060,12.969,8.320
13,44,4.600,7.401,5.620
14,1,6.490,10.442,8.790
14,2,4.160,6.693,6.070
14,3,4.640,7.466,6.530
14,4,8.120,13.065,8.280
14,5,5.190,8.351,7.570
14,6,5.170,8.319,6.960
14,7,5.210,8.383,6.680
14,8,7.900,12.711,8.120
14,9,5.170,8.319,5.690
14,10,5.260,8.463,7.750
14,11,3.260,5.245,4.280
14,12,4.290,6.903,6.450
14,13,2.730,4.393,3.440
14,15,2.200,3.540,3.420
14,16,1.020,1.641,1.700
14,17,3.210,5.165,4.510
14,18,4.280,6.887,6.170
14,19,3.220,5.181,4.300
14,20,3.730,6.002,4.790
14,21,3.780,6.082,4.750
14,22,4.870,7.836,6.520
14,23,6.480,10.426,9.360
14,24,7.080,11.392,10.720
14,25,6.300,10.137,7.590
14,26,3.880,6.243,4.640
14,27,3.080,4.956,4.900
14,28,3.840,6.179,5.450
14,29,7.780,12.518,11.150
14,30,7.100,11.424,7.870
14,31,3.800,6.114,5.010
14,32,5.420,8.721,7.920
14,33,5.130,8.254,7.580
14,34,7.300,11.746,8.200
14,35,7.720,12.421,8.590
14,36,5.730,9.220,6.370
14,37,5.320,8.560,5.930
14,38,8.540,13.741,12.210
14,39,9.070,14.594,11.400
14,40,5.120,8.238,7.490
14,41,7.850,12.631,9.750
14,42,4.570,7.353,7.490
14,43,6.280,10.105,7.270
14,44,3.810,6.130,5.020
15,1,8.160,13.129,10.430
15,2,4.480,7.208,5.200
15,3,6.310,10.153,8.170
15,4,8.660,13.934,9.370
15,5,5.730,9.220,8.660
15,6,7.080,11.392,8.350
15,7,6.880,11.070,7.840
15,8,8.440,13.580,9.210
15,9,4.230,6.806,5.750
15,10,5.800,9.332,8.840
15,11,3.800,6.114,5.370
15,12,4.830,7.771,7.540
15,13,3.910,6.291,5.760
15,14,2.200,3.540,3.420
15,16,2.200,3.540,4.020
15,17,2.140,3.443,2.580
15,18,5.950,9.574,7.810
15,19,4.400,7.080,6.620
15,20,5.400,8.689,6.430
15,21,2.550,4.103,2.600
15,22,6.730,10.829,8.500
15,23,5.920,9.525,9.490
15,24,7.620,12.261,11.810
15,25,5.850,9.413,7.530
15,26,4.590,7.385,5.990
15,27,1.570,2.526,3.270
15,28,4.490,7.224,5.490
15,29,8.320,13.387,12.240
15,30,6.650,10.700,7.810
15,31,4.340,6.983,6.100
15,32,4.950,7.965,8.170
15,33,4.680,7.530,7.520
15,34,6.850,11.022,8.140
15,35,7.270,11.697,8.530
15,36,6.270,10.088,7.460
15,37,5.860,9.429,7.020
15,38,9.080,14.610,13.300
15,39,9.610,15.462,12.490
15,40,4.960,7.981,8.270
15,41,8.390,13.500,10.840
15,42,4.120,6.629,7.430
15,43,5.830,9.380,7.210
15,44,4.350,6.999,6.110
16,1,5.470,8.801,7.660
16,2,3.180,5.117,4.740
16,3,3.620,5.825,5.400
16,4,8.120,13.065,8.880
16,5,5.190,8.351,8.170
16,6,5.170,8.319,7.560
16,7,5.210,8.383,7.280
16,8,7.900,12.711,8.720
16,9,5.170,8.319,6.290
16,10,5.260,8.463,8.350
16,11,3.260,5.245,4.880
16,12,4.290,6.903,7.050
16,13,2.730,4.393,4.040
16,14,1.020,1.641,1.700
16,15,2.200,3.540,4.020
16,17,3.210,5.165,5.110
16,18,3.260,5.245,5.040
16,19,3.220,5.181,4.900
16,20,2.710,4.360,3.660
16,21,2.750,4.425,3.770
16,22,4.870,7.836,7.120
16,23,6.480,10.426,9.960
16,24,7.080,11.392,11.320
16,25,6.300,10.137,8.190
16,26,3.880,6.243,5.240
16,27,3.080,4.956,5.500
16,28,2.790,4.489,4.080
16,29,7.780,12.518,11.750
16,30,7.100,11.424,8.470
16,31,3.800,6.114,5.610
16,32,5.420,8.721,8.520
16,33,5.130,8.254,8.180
16,34,7.300,11.746,8.800
16,35,7.720,12.421,9.190
16,36,5.730,9.220,6.970
16,37,5.320,8.560,6.530
16,38,8.540,13.741,12.810
16,39,9.070,14.594,12.000
16,40,5.120,8.238,8.090
16,41,7.850,12.631,10.350
16,42,4.570,7.353,8.090
16,43,6.280,10.105,7.870
16,44,3.810,6.130,5.620
17,1,7.210,11.601,9.590
17,2,3.530,5.680,4.360
17,3,5.360,8.624,7.330
17,4,10.880,17.506,11.840
17,5,7.950,12.792,11.130
17,6,8.150,13.113,9.830
17,7,8.190,13.178,9.550
17,8,10.660,17.152,11.680
17,9,6.440,10.362,8.230
17,10,8.020,12.904,11.310
17,11,6.020,9.686,7.840
17,12,7.050,11.343,10.010
17,13,5.460,8.785,6.990
17,14,3.800,6.114,5.140
17,15,3.960,6.372,5.840
17,16,2.780,4.473,3.770
17,18,5.000,8.045,6.970
17,19,5.950,9.574,7.850
17,20,4.450,7.160,5.590
17,21,1.600,2.574,1.760
17,22,8.300,13.355,10.020
17,23,8.130,13.081,11.970
17,24,9.840,15.833,14.280
17,25,8.060,12.969,10.010
17,26,6.640,10.684,8.200
17,27,4.840,7.788,7.320
17,28,3.540,5.696,4.650
17,29,10.540,16.959,14.710
17,30,8.860,14.256,10.290
17,31,6.560,10.555,8.570
17,32,7.160,11.520,10.650
17,33,6.890,11.086,10.000
17,34,9.060,14.578,10.620
17,35,9.480,15.253,11.010
17,36,8.490,13.660,9.930
17,37,8.080,13.001,9.490
17,38,11.300,18.182,15.770
17,39,11.830,19.034,14.960
17,40,7.170,11.537,10.750
17,41,10.610,17.071,13.310
17,42,6.310,10.153,9.910
17,43,8.040,12.936,9.690
17,44,6.570,10.571,8.580
18,1,2.680,4.312,4.100
18,2,3.050,4.907,4.450
18,3,1.790,2.880,3.050
18,4,7.440,11.971,6.760
18,5,5.930,9.541,7.660
18,6,4.420,7.112,4.670
18,7,4.460,7.176,4.390
18,8,7.220,11.617,6.600
18,9,5.910,9.509,5.780
18,10,6.000,9.654,7.840
18,11,3.880,6.243,4.160
18,12,5.030,8.093,6.540
18,13,2.960,4.763,4.270
18,14,4.280,6.887,6.170
18,15,6.380,10.265,7.350
18,16,3.260,5.245,5.040
18,17,6.440,10.362,9.560
18,19,2.500,4.022,2.760
18,20,1.950,3.138,2.870
18,21,4.970,7.997,6.970
18,22,4.570,7.353,4.860
18,23,7.220,11.617,9.450
18,24,7.820,12.582,10.810
18,25,8.030,12.920,8.130
18,26,4.620,7.434,4.730
18,27,5.730,9.220,6.950
18,28,3.970,6.388,6.240
18,29,8.520,13.709,11.240
18,30,8.830,14.207,8.410
18,31,4.540,7.305,5.100
18,32,6.160,9.911,8.010
18,33,6.860,11.038,8.120
18,34,9.030,14.529,8.740
18,35,9.450,15.205,9.130
18,36,5.340,8.592,5.620
18,37,4.930,7.932,5.180
18,38,10.190,16.396,11.520
18,39,9.240,14.867,10.010
18,40,5.860,9.429,7.580
18,41,8.020,12.904,8.360
18,42,6.300,10.137,8.030
18,43,8.010,12.888,7.810
18,44,4.550,7.321,5.110
19,1,3.680,5.921,5.260
19,2,5.060,8.142,6.910
19,3,3.800,6.114,5.510
19,4,7.640,12.293,7.590
19,5,5.870,9.445,8.550
19,6,4.620,7.434,5.500
19,7,4.660,7.498,5.220
19,8,7.420,11.939,7.430
19,9,6.450,10.378,7.150
19,10,5.520,8.882,8.060
19,11,4.370,7.031,5.480
19,12,4.560,7.337,6.970
19,13,1.910,3.073,2.380
19,14,3.220,5.181,4.300
19,15,4.400,7.080,6.620
19,16,3.220,5.181,4.900
19,17,5.410,8.705,7.710
19,18,3.240,5.213,3.290
19,20,2.900,4.666,3.760
19,21,5.950,9.574,7.860
19,22,3.200,5.149,5.310
19,23,7.760,12.486,10.820
